state,district,year,predicted_population
W.P. Labuan,W.P. Labuan,2024,100.1
W.P. Labuan,W.P. Labuan,2025,101.4
W.P. Labuan,W.P. Labuan,2026,102.7
W.P. Labuan,W.P. Labuan,2027,104.0
W.P. Labuan,W.P. Labuan,2028,105.3
W.P. Putrajaya,W.P. Putrajaya,2024,120.1
W.P. Putrajaya,W.P. Putrajaya,2025,122.2
W.P. Putrajaya,W.P. Putrajaya,2026,124.4
W.P. Putrajaya,W.P. Putrajaya,2027,126.5
W.P. Putrajaya,W.P. Putrajaya,2028,128.7
Pahang,Cameron Highland,2024,43.4
Pahang,Cameron Highland,2025,45.4
Pahang,Cameron Highland,2026,47.4
Pahang,Cameron Highland,2027,49.5
Pahang,Cameron Highland,2028,51.5
Pulau Pinang,Sp Selatan,2024,188.1
Pulau Pinang,Sp Selatan,2025,189.5
Pulau Pinang,Sp Selatan,2026,190.8
Pulau Pinang,Sp Selatan,2027,192.1
Pulau Pinang,Sp Selatan,2028,193.5
Pulau Pinang,Sp Tengah,2024,439.7
Pulau Pinang,Sp Tengah,2025,447.5
Pulau Pinang,Sp Tengah,2026,455.4
Pulau Pinang,Sp Tengah,2027,463.3
Pulau Pinang,Sp Tengah,2028,471.1
Pulau Pinang,Sp Utara,2024,349.8
Pulau Pinang,Sp Utara,2025,353.9
Pulau Pinang,Sp Utara,2026,358.0
Pulau Pinang,Sp Utara,2027,362.0
Pulau Pinang,Sp Utara,2028,366.1
