series,date,state,sector,value
abs,1/1/2015,W.P. Labuan,GDP at purchasers' prices,5999.225
abs,1/1/2015,W.P. Labuan,Agriculture,118.109
abs,1/1/2015,W.P. Labuan,Mining and quarrying,0
abs,1/1/2015,W.P. Labuan,Manufacturing,1168.465
abs,1/1/2015,W.P. Labuan,Construction,148.418
abs,1/1/2015,W.P. Labuan,Services,4490.305
abs,1/1/2015,W.P. Labuan,(plus) Import dutie,73.928
abs,1/1/2016,Johor,GDP at purchasers' prices,116682.227
abs,1/1/2016,Johor,Agriculture,15029.966
abs,1/1/2016,Johor,Mining and quarrying,569.326
abs,1/1/2016,Johor,Manufacturing,34121.545
abs,1/1/2016,Johor,Construction,8978.486
abs,1/1/2016,Johor,Services,56266.132
abs,1/1/2016,Johor,(plus) Import dutie,1716.772
abs,1/1/2016,Kedah,GDP at purchasers' prices,41155.715
abs,1/1/2016,Kedah,Agriculture,5202.482
abs,1/1/2016,Kedah,Mining and quarrying,95.702
abs,1/1/2016,Kedah,Manufacturing,11933.93
abs,1/1/2016,Kedah,Construction,997.847
abs,1/1/2016,Kedah,Services,22603.916
abs,1/1/2016,Kedah,(plus) Import dutie,321.838
abs,1/1/2016,Kelantan,GDP at purchasers' prices,22475.73
abs,1/1/2016,Kelantan,Agriculture,5287.474
abs,1/1/2016,Kelantan,Mining and quarrying,257.197
abs,1/1/2016,Kelantan,Manufacturing,1171.974
abs,1/1/2016,Kelantan,Construction,575.397
abs,1/1/2016,Kelantan,Services,15158.95
abs,1/1/2016,Kelantan,(plus) Import dutie,24.739
abs,1/1/2016,Melaka,GDP at purchasers' prices,37712.736
abs,1/1/2016,Melaka,Agriculture,4312.324
abs,1/1/2016,Melaka,Mining and quarrying,52.608
abs,1/1/2016,Melaka,Manufacturing,14626.228
abs,1/1/2016,Melaka,Construction,997.69
abs,1/1/2016,Melaka,Services,17655.431
abs,1/1/2016,Melaka,(plus) Import dutie,68.455
abs,1/1/2016,Negeri Sembilan,GDP at purchasers' prices,41771.246
abs,1/1/2016,Negeri Sembilan,Agriculture,3056.453
abs,1/1/2016,Negeri Sembilan,Mining and quarrying,197.694
abs,1/1/2016,Negeri Sembilan,Manufacturing,16132.922
abs,1/1/2016,Negeri Sembilan,Construction,1466.149
abs,1/1/2016,Negeri Sembilan,Services,19975.95
abs,1/1/2016,Negeri Sembilan,(plus) Import dutie,942.078
abs,1/1/2016,Pahang,GDP at purchasers' prices,50875.222
abs,1/1/2016,Pahang,Agriculture,11193.044
abs,1/1/2016,Pahang,Mining and quarrying,878.802
abs,1/1/2016,Pahang,Manufacturing,10820.351
abs,1/1/2016,Pahang,Construction,2726.442
abs,1/1/2016,Pahang,Services,25173.04
abs,1/1/2016,Pahang,(plus) Import dutie,83.543
abs,1/1/2016,Perak,GDP at purchasers' prices,65958.409
abs,1/1/2016,Perak,Agriculture,10151.488
abs,1/1/2016,Perak,Mining and quarrying,413.624
abs,1/1/2016,Perak,Manufacturing,11752.31
abs,1/1/2016,Perak,Construction,2785.886
abs,1/1/2016,Perak,Services,40762.08
abs,1/1/2016,Perak,(plus) Import dutie,93.021
abs,1/1/2016,Perlis,GDP at purchasers' prices,5569.584
abs,1/1/2016,Perlis,Agriculture,1200.073
abs,1/1/2016,Perlis,Mining and quarrying,28.359
abs,1/1/2016,Perlis,Manufacturing,448.56
abs,1/1/2016,Perlis,Construction,212.035
abs,1/1/2016,Perlis,Services,3578.896
abs,1/1/2016,Perlis,(plus) Import dutie,101.661
abs,1/1/2016,Pulau Pinang,GDP at purchasers' prices,82493.279
abs,1/1/2016,Pulau Pinang,Agriculture,1987.813
abs,1/1/2016,Pulau Pinang,Mining and quarrying,135.366
abs,1/1/2016,Pulau Pinang,Manufacturing,35410.767
abs,1/1/2016,Pulau Pinang,Construction,2984.449
abs,1/1/2016,Pulau Pinang,Services,41166.781
abs,1/1/2016,Pulau Pinang,(plus) Import dutie,808.102
abs,1/1/2016,Sabah,GDP at purchasers' prices,77518.046
abs,1/1/2016,Sabah,Agriculture,13255.092
abs,1/1/2016,Sabah,Mining and quarrying,21992.315
abs,1/1/2016,Sabah,Manufacturing,6036.734
abs,1/1/2016,Sabah,Construction,2357.442
abs,1/1/2016,Sabah,Services,33574.808
abs,1/1/2016,Sabah,(plus) Import dutie,301.656
abs,1/1/2016,Sarawak,GDP at purchasers' prices,124512.946
abs,1/1/2016,Sarawak,Agriculture,16631.881
abs,1/1/2016,Sarawak,Mining and quarrying,29252.866
abs,1/1/2016,Sarawak,Manufacturing,33566.582
abs,1/1/2016,Sarawak,Construction,3633.388
abs,1/1/2016,Sarawak,Services,40981.962
abs,1/1/2016,Sarawak,(plus) Import dutie,446.268
abs,1/1/2016,Selangor,GDP at purchasers' prices,281838.865
abs,1/1/2016,Selangor,Agriculture,3872.074
